OccurrenceID	TaxonID	Event ID	Institution Code	Collection Code	Catalog Number	Sex	LifeStage	Reproductive Condition	Behavior	Establishment Means	Remarks	Count of Individuals	Preparations	FieldNotes	Sampling Protocol	Sampling Effort	Recorded By	Identified By	Date Identified	Event Date	Modified Date	Locality	Decimal Latitude	Decimal Longitude	Verbatim Latitude	Verbatim Longitude	Verbatim Elevation
1	Abarema jupunba																					South America (tropical)					
2	Abarema jupunba																					South America (tropical)					
3	Abarema jupunba																					South America (tropical)					
4	Abarema jupunba																					South America (tropical)					
5	Abarema jupunba																					South America (tropical)					
6	Abarema jupunba																					South America (tropical)					
7	Abarema jupunba																					South America (tropical)					
8	Abarema macradenia																					Central America (tropical)					
9	Abies alba																					Europe					
10	Abies amabilis																					NorthAmerica					
11	Abies arizonica																					NorthAmerica					
12	Abies balsamea																					NorthAmerica					
13	Abies concolor																					NorthAmerica					
14	Abies delavayi																					China					
15	Abies ernestii																					China					
16	Abies fabri																					China					
17	Abies fargesii																					China					
18	Abies faxoniana																					China					
19	Abies forrestii																					China					
20	Abies georgei																					China					
21	Abies georgei																					China					
22	Abies grandis																					NorthAmerica					
23	Abies guatemalensis																					Central America (tropical)					
24	Abies holophylla																					China					
25	Abies lasiocarpa																					NorthAmerica					
26	Abies magnifica																					NorthAmerica					
27	Abies nephrolepis																					China					
28	Abies nephrolepis																					China					
29	Abies pindrow																					India					
30	Abies pinsapo																					Europe					
31	Abies procera																					NorthAmerica					
32	Abies religiosa																					Mexico					
33	Abuta rufescens																					South America (tropical)					
34	Acacia acradenia																					Australia					
35	Acacia acuminata																					Australia					
36	Acacia acuminata																					Australia					
37	Acacia adsurgens																					Australia					
38	Acacia albicorticata																					South America (tropical)					
39	Acacia alleniana																					Australia/PNG (tropical)					
40	Acacia ampliceps																					Australia					
41	Acacia amythethophylla																					Africa (extratropical)					
42	Acacia aneura																					Australia/PNG (tropical)					
43	Acacia aneura																					Australia					
44	Acacia aneura																					Australia					
45	Acacia aneura																					Australia/PNG (tropical)					
46	Acacia aneura																					Australia					
47	Acacia aneura																					Australia					
48	Acacia aneura																					Australia					
49	Acacia aneura																					Australia					
50	Acacia aneura																					Australia					
51	Acacia angustissima																					Mexico					
52	Acacia arabica																					India					
53	Acacia aroma																					South America (extratropical)					
54	Acacia atkinsiana																					Australia					
55	Acacia aulacocarpa																					Australia/PNG (tropical)					
56	Acacia aulacocarpa																					Australia/PNG (tropical)					
57	Acacia aulacocarpa																					Australia/PNG (tropical)					
58	Acacia aulacocarpa																					Australia/PNG (tropical)					
59	Acacia aulacocarpa																					Australia					
