Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Class	Order	Family	Genus	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
Abarema jupunba	Abarema jupunba		Plantae				Fabaceae		species					
Abarema macradenia	Abarema macradenia		Plantae				Fabaceae		species					
Abies alba	Abies alba		Plantae				Pinaceae		species					
Abies amabilis	Abies amabilis		Plantae				Pinaceae		species					
Abies arizonica	Abies arizonica		Plantae				Pinaceae		species					
Abies balsamea	Abies balsamea		Plantae				Pinaceae		species					
Abies concolor	Abies concolor		Plantae				Pinaceae		species					
Abies delavayi	Abies delavayi		Plantae				Pinaceae		species					
Abies ernestii	Abies ernestii		Plantae				Pinaceae		species					
Abies fabri	Abies fabri		Plantae				Pinaceae		species					
Abies fargesii	Abies fargesii		Plantae				Pinaceae		species					
Abies faxoniana	Abies faxoniana		Plantae				Pinaceae		species					
Abies forrestii	Abies forrestii		Plantae				Pinaceae		species					
Abies georgei	Abies georgei		Plantae				Pinaceae		species					
Abies grandis	Abies grandis		Plantae				Pinaceae		species					
Abies guatemalensis	Abies guatemalensis		Plantae				Pinaceae		species					
Abies holophylla	Abies holophylla		Plantae				Pinaceae		species					
Abies lasiocarpa	Abies lasiocarpa		Plantae				Pinaceae		species					
Abies magnifica	Abies magnifica		Plantae				Pinaceae		species					
Abies nephrolepis	Abies nephrolepis		Plantae				Pinaceae		species					
Abies pindrow	Abies pindrow		Plantae				Pinaceae		species					
Abies pinsapo	Abies pinsapo		Plantae				Pinaceae		species					
Abies procera	Abies procera		Plantae				Pinaceae		species					
Abies religiosa	Abies religiosa		Plantae				Pinaceae		species					
Abuta rufescens	Abuta rufescens		Plantae				Menispermaceae		species					
Acacia acradenia	Acacia acradenia		Plantae				Fabaceae		species					
Acacia acuminata	Acacia acuminata		Plantae				Fabaceae		species					
Acacia adsurgens	Acacia adsurgens		Plantae				Fabaceae		species					
Acacia albicorticata	Acacia albicorticata		Plantae				Fabaceae		species					
Acacia alleniana	Acacia alleniana		Plantae				Fabaceae		species					
Acacia ampliceps	Acacia ampliceps		Plantae				Fabaceae		species					
Acacia amythethophylla	Acacia amythethophylla		Plantae				Fabaceae		species					
Acacia aneura	Acacia aneura		Plantae				Fabaceae		species					
Acacia angustissima	Acacia angustissima		Plantae				Fabaceae		species					
Acacia arabica	Acacia arabica		Plantae				Fabaceae		species					
Acacia aroma	Acacia aroma		Plantae				Fabaceae		species					
Acacia atkinsiana	Acacia atkinsiana		Plantae				Fabaceae		species					
Acacia aulacocarpa	Acacia aulacocarpa		Plantae				Fabaceae		species					
Acacia auriculiformis	Acacia auriculiformis		Plantae				Fabaceae		species					
Acacia bakeri	Acacia bakeri		Plantae				Fabaceae		species					
Acacia bidwillii	Acacia bidwillii		Plantae				Fabaceae		species					
Acacia bivenosa	Acacia bivenosa		Plantae				Fabaceae		species					
Acacia brachystachya	Acacia brachystachya		Plantae				Fabaceae		species					
Acacia cambagei	Acacia cambagei		Plantae				Fabaceae		species					
Acacia catechu	Acacia catechu		Plantae				Fabaceae		species					
Acacia caven	Acacia caven		Plantae				Fabaceae		species					
Acacia chisholmii	Acacia chisholmii		Plantae				Fabaceae		species					
Acacia chundra	Acacia chundra		Plantae				Fabaceae		species					
Acacia citrinoviridis	Acacia citrinoviridis		Plantae				Fabaceae		species					
Acacia cochliacantha	Acacia cochliacantha		Plantae				Fabaceae		species					
Acacia colei	Acacia colei		Plantae				Fabaceae		species					
Acacia collinsii	Acacia collinsii		Plantae				Fabaceae		species					
Acacia concurrens	Acacia concurrens		Plantae				Fabaceae		species					
Acacia confusa	Acacia confusa		Plantae				Fabaceae		species					
Acacia coriacea	Acacia coriacea		Plantae				Fabaceae		species					
Acacia craspedocarpa	Acacia craspedocarpa		Plantae				Fabaceae		species					
Acacia crassicarpa	Acacia crassicarpa		Plantae				Fabaceae		species					
Acacia dealbata	Acacia dealbata		Plantae				Fabaceae		species					
Acacia decurrens	Acacia decurrens		Plantae				Fabaceae		species					
Acacia dictyophleba	Acacia dictyophleba		Plantae				Fabaceae		species					
Acacia difficilis	Acacia difficilis		Plantae				Fabaceae		species					
Acacia doratoxylon	Acacia doratoxylon		Plantae				Fabaceae		species					
Acacia elata	Acacia elata		Plantae				Fabaceae		species					
Acacia erioloba	Acacia erioloba		Plantae				Fabaceae		species					
Acacia eriopoda	Acacia eriopoda		Plantae				Fabaceae		species					
Acacia excelsa	Acacia excelsa		Plantae				Fabaceae		species					
Acacia fasciculifera	Acacia fasciculifera		Plantae				Fabaceae		species					
Acacia ferruginea	Acacia ferruginea		Plantae				Fabaceae		species					
Acacia furcatispina	Acacia furcatispina		Plantae				Fabaceae		species					
Acacia galpinii	Acacia galpinii		Plantae				Fabaceae		species					
Acacia georginae	Acacia georginae		Plantae				Fabaceae		species					
Acacia gerrardii	Acacia gerrardii		Plantae				Fabaceae		species					
Acacia glaucocarpa	Acacia glaucocarpa		Plantae				Fabaceae		species					
Acacia goetzei	Acacia goetzei		Plantae				Fabaceae		species					
Acacia grasbyi	Acacia grasbyi		Plantae				Fabaceae		species					
Acacia harpophylla	Acacia harpophylla		Plantae				Fabaceae		species					
Acacia hemignosta	Acacia hemignosta		Plantae				Fabaceae		species					
Acacia hemsleyi	Acacia hemsleyi		Plantae				Fabaceae		species					
Acacia hindsii	Acacia hindsii		Plantae				Fabaceae		species					
Acacia holosericea	Acacia holosericea		Plantae				Fabaceae		species					
Acacia implexa	Acacia implexa		Plantae				Fabaceae		species					
Acacia irrorata	Acacia irrorata		Plantae				Fabaceae		species					
Acacia jennerae	Acacia jennerae		Plantae				Fabaceae		species					
Acacia karroo	Acacia karroo		Plantae				Fabaceae		species					
Acacia laccata	Acacia laccata		Plantae				Fabaceae		species					
Acacia lasiocalyx	Acacia lasiocalyx		Plantae				Fabaceae		species					
Acacia leucophloea	Acacia leucophloea		Plantae				Fabaceae		species					
Acacia longifolia	Acacia longifolia		Plantae				Fabaceae		species					
Acacia maconochieana	Acacia maconochieana		Plantae				Fabaceae		species					
Acacia macracantha	Acacia macracantha		Plantae				Fabaceae		species					
Acacia maidenii	Acacia maidenii		Plantae				Fabaceae		species					
Acacia mangium	Acacia mangium		Plantae				Fabaceae		species					
Acacia mayana	Acacia mayana		Plantae				Fabaceae		species					
